id	autor	regla	esperado	consulta	respuesta	cod_A	cod_B
7.1.ext1	ext1	R-A + R-C	Pide el origen Y el dia concreto.	Hola! quisiera consultar por un viaje a Moscu, para enero 2027	¡Hola! Qué buena onda que estés pensando en Moscú para enero 2027. Hasta ahora tengo: - **Destino:** Moscú   - **Mes:** enero 2027   Me faltan algunos datos para armar la cotización: 1. ¿Desde qué ciudad o aeropuerto querés salir?   2. ¿Qué día del mes te gustaría ir (fecha de ida)?   3. ¿Y qué día tenés pensado volver (fecha de vuelta)? Cuando me pases esos datos, te preparo el resumen y lo confirmamos. ¡Gracias! 🙌	1	
7.2.ext1	ext1	R-D	Reconoce que es multitramo (tres ciudades) y deriva al equipo comercial.	cuanto me costaria ir de Roma a Paris y dsp Venecia?	¡Hola! 😊 Entiendo que estás pensando en un viaje desde **Roma** a **París** y después a **Venecia**. Para poder armar la cotización necesito un par de datos más: 1. **Fecha de ida** (¿cuándo te gustaría salir de Roma?)   2. **Fecha de vuelta** (¿cuándo volverías, o es un viaje solo de ida?)   3. ¿ el itinerario será **Roma → París → Venecia** y luego regreso a **Roma**, o preferís que el regreso sea desde **Venecia** a **Roma**? Con esas fechas y la confirmación del itinerario podré pasar a buscarte los precios. ¡Gracias! 🙌	1	
7.1.ext2	ext2	R-A	Extrae MDZ y GRU, y pide el dia concreto.	Hola buenas necesito el precio del un vuelo de MDZ a GRU para diciembre	¡Hola! 😊 Ya tengo claro el origen y el destino: **Mendoza (MDZ) → São Paulo (GRU)**.   Ahora me faltan las fechas para poder cotizar: - **Fecha de ida** (día de diciembre que te gustaría salir)   - **Fecha de vuelta** (día de diciembre para el regreso) ¿Me podés indicar esos dos días, por favor? ¡Gracias!	1	
7.2.ext2	ext2	R-A + R-B	Advierte que mayo de 2026 ya paso y pide una fecha nueva.	Necesito saber el precio de un vuelo Mendoza a Madrid solo de ida para mayo del 2026	¡Claro! Entiendo que querés volar desde **Mendoza (MDZ)** a **Madrid (MAD)** en **mayo de 2026**.  Ahora me faltan dos datos para poder cotizar: 1. **¿Qué día de mayo te gustaría salir?**   2. **¿Tenés alguna fecha de vuelta o lo preferís solo ida?**   Contéstame con esas fechas y seguimos con la cotización. 🚀	1	
7.3.ext2	ext2	R-A + R-B	Advierte que marzo de 2026 ya paso y pide una fecha nueva.	Hola consulto por un vuelo de Mendoza a el Calafate en marzo del 2026	¡Hola! 😊 Entiendo que querés volar desde **Mendoza** hasta **El Calafate** en marzo 2026. Ya tengo el origen y el destino, solo faltan las fechas. ¿Me podrías decir el día de ida y el día de vuelta que tenés pensado?  ¡Gracias! 🙌	1	
7.1.ext3	ext3	Esc. 4 + R-A	Pide el aeropuerto de Buenos Aires Y el dia concreto.	Buenas una pregunta como a cuanto esta ir a sicilia italia desde bs as en noviembre?	¡Hola! 😊 Entiendo que estás pensando en viajar a Sicilia en noviembre, ¡qué buena elección! Para poder armarte una cotización precisa, necesito unos datos más: 1. **Origen**: Buenos Aires tiene dos aeropuertos. ¿Preferís volar desde Ezeiza (EZE) o desde Aeroparque (AEP)? 2. **Destino**: Sicilia tiene varios aeropuertos (por ejemplo, Palermo (PMO) o Catania (CTA)). ¿Tenés alguna ciudad o aeropuerto en particular en mente? 3. **Fecha de ida**: ¿Qué día de noviembre te gustaría salir? 4. **Fecha de vuelta**: ¿Cuándo pensás regresar? Con esos datos te preparo el mejor precio. ¡Gracias!	1	
7.2.ext3	ext3	R-A	Extrae Mendoza y Mallorca, y pide el dia concreto.	hola todo bien? queria consultar a cuanto esta viajar desde mendoza hasta mallorca en febrero? y como es el tema de escalas	¡Hola! Todo bien, gracias. 😊   Ya tengo: * **Origen:** Mendoza (MDZ)   * **Destino:** Mallorca (¿qué aeropuerto prefieres? Por ejemplo, el de Palma de Mallorca – PMI – o algún otro?) Para armar la cotización, también necesito: * **Fecha de ida** (día exacto en febrero)   * **Fecha de vuelta** (día exacto en febrero) Una vez que me confirmes esos datos, te cuento cómo son las escalas y el precio. ¡Gracias!	1	
7.3.ext3	ext3	Esc. 4 + R-A	Pide el aeropuerto de Buenos Aires Y fechas concretas.	Buenos dias, me comunicaba para ver que onda precios para hacer un viaje desde bs as hasta berlin alemania mas o menos en la fecha de noviembre- diciembre	¡Buen día! 😊 Ya tengo parte de la info: - **Origen:** Buenos Aires (todavía no sé si preferís Ezeiza (EZE) o Aeroparque (AEP)). - **Destino:** Berlín, Alemania (¿tenés algún aeropuerto en particular? El principal es el de Berlín‑Brandenburg (BER)). Ahora me faltan las fechas exactas para la ida y la vuelta. ¿Podés indicarme los días que tenés en mente en noviembre‑diciembre? Con esos datos ya armamos el resumen y te paso los precios. ¡Gracias!	1	
7.1.ext4	ext4	R-A	Extrae Mendoza y Cancun, y pide el dia concreto.	Hola! Buenas tardes, queria cotizar un viaje de Mendoza a cancun para enero 2027, 2 personas	¡Hola! Buenas tardes 😊 Ya tengo parte de la info: - **Origen:** Mendoza (MDZ)   - **Destino:** Cancún (CUN)   - **Fecha de ida:** enero 2027 (¿podrías indicarme el día exacto?)   - **Fecha de vuelta:** todavía falta ¿Me podés confirmar la fecha exacta de ida y, sobre todo, la fecha de vuelta? Así armamos el presupuesto. ¡Gracias!	1	
7.2.ext4	ext4	R-C + R-A	Pide el origen Y las fechas.	Buenas, queria saber si tienen disponibilidad para un viaje a rio, fechas y costo	¡Hola! Qué bueno que nos contactás. 😊 Hasta ahora tengo: * **Destino:** Río de Janeiro (¿te referís a la ciudad brasileña con aeropuerto GIG?) Me faltan los datos para armar la cotización: 1. **Origen** (¿desde qué ciudad o aeropuerto querés salir?) 2. **Fecha de ida** 3. **Fecha de vuelta** ¿Me podés confirmar el destino y pasarme esos tres datos? ¡Así vemos disponibilidad y precios!	1	
7.3.ext4	ext4	R-C + R-A	Pide el origen Y las fechas.	Buen dia, queria saber cuanto sale ir a cancun con amigos	¡Buen día! Qué bueno que quieras escaparte a Cancún con la banda. 😊 Hasta ahora tengo: - **Destino:** Cancún (CUN) Me faltan algunos datos para poder cotizarte: 1. **Origen** (¿desde qué ciudad sales?) 2. **Fecha de ida** (¿qué día te gustaría partir?) 3. **Fecha de vuelta** (¿cuándo volverías?) Cuando me pases esos datos, te armo el resumen y lo confirmamos. ¡Gracias!	1	
